year,month,day,japaneseKanji,japaneseRomaji,chapter,description
1849,,,嘉永2年,Kaei 2,6,"Kondō Isami (16 years old) adopted by Shūsuke as heir to the Tennen Rishin sword fighting school"
1861,2,19,文久元年,Bunkyū 1,,"Bunkyū Era begins on this day"
1862,2,8,文久2年,Bunkyū 2,6,"Hijikata Toshizō and a cohort of recruits form the Rōshi Corps and march from Edo"
1862,2,10,文久2年,Bunkyū 2,6,"the Rōshi Corps arrives in Kyoto"
1862,1,2,文久2年,Bunkyū 2,6,"Shikanai Kaoru meets Kotsuru in the woods outside of Chōrakuji temple"
1863,1,,文久3年,Bunkyū 3,6,"Kondō purchases the ""Kotetsu"" sword"
1863,2,4,文久3年,Bunkyū 3,2,"recruits from Edo meet each other at Dentsū temple"
1863,4,13,文久3年,Bunkyū 3,1,"Kiyokawa Hachirō assassinated at the Akabane Bridge in Kyoto"
1863,4,,文久3年,Bunkyū 3,12,"Tani Sanjūrō arrives at headquarters and is quickly promoted to the rank of Corporal"
1868,9,8,明治元年,Meiji 1,,"Meiji Era begins"
1864,3,,元治元年,Genji 1,11,"Hijikata first suspects Okita has TB"
1863,3,,文久3年,Bunkyū 3,6,"Shinsengumi officially inaugurated"
1863,8,,文久3年,Bunkyū 3,8,"Hamaguri Gate Incident"
1863,8,14,文久3年,Bunkyū 3,2,"Serizawa incident with Sumo wrestlers"
1863,9,16,文久3年,Bunkyū 3,2,"assassination of Serizawa"
1863,9,18,文久3年,Bunkyū 3,2,"Serizawa's funeral; Kondō takes full control of the corps"
1863,12,,文久3年,Bunkyū 3,3,"Fukamachi Shinsaku's first kill"
1863,12,,文久3年,Bunkyū 3,5,"Takeda and Yamazaki Susumu join Shinsengumi"
1864,1,1,元治元年,Genji 1,4,"Yamazaki returns to his dojo in Osaka to offer New Year's greetings to his master after having joined the Shinsengumi."
1864,6,4,元治元年,Genji 1,4,"Yamazaki reports Masuya to Shinsengumi Fukamachi Shinsaku killed and discovery of the note leading to Ikedaya raid"
1864,6,5,元治元年,Genji 1,"4 & 8","Ikedaya Incident, chp 4 & chp 8; organizational structure redrawn, corporal becomes sergent;"
1864,8,18,元治元年,Genji 1,4,"Chōshū sympathizers forced out of Kyoto back to Choshu, overturning Choshu's powerful position in the capital"
1863,9,,文久3年,Bunkyū 3,1,"Itō Kashitarō leads a group of followers, including Shinohara Tainoshin, from his dojo in Edo to join the Shinsengumi in Kyoto"
1863,6,,文久3年,Bunkyū 3,3,"Chrysanthemum festival, Shinsaku meets at Shikokuya Inn"
1863,10,,文久3年,Bunkyū 3,3,"Chrysanthemum festival, Shinsaku meets at Shikokuya Inn"
1863,12,3,文久3年,Bunkyū 3,3,"Shinsaku kills for the first time in raid at the Baishoin temple"
1865,3,,元治2年,Genji 2,,"Shinsengumi moves headquarters from Mibu to Nishi Honganji;"
1865,4,,元治2年,Genji 2,7,"Sōzaburo and Tashiro Hyōzō join the corps"
1865,4,7,慶応元年,Keiō 1,,"Keiō Era begins on this day"
1864,,,元治元年,Genji 1,13,"Tomiyama Yahei engages in personal fight, killing Sakura"
1865,1,,元治2年,Genji 2,8,"Shikanai's child born, (does not line up with rest of timeline in the chp)"
1866,1,2,慶応2年,Keiō 2,8,"Okubo and Ito have a secret meeting at Ichiriki in Gion Hanamikoji cementing their alliance before Ito's departure from Shinsengumi"
1867,11,19,慶応3年,Keiō 3,14,"Abe Jūrō and Uchiumi Jūrō return from hunting to the Gessin-in. They were gone during the battle at Aburanokōji, and when they returny, they learn that their corps has been destroyed and most of their comrades slain. Abe and Uchiumi defect to the Satsuma army."
1867,12,9,慶応3年,Keiō 3,14,"Official declaration of the Imperial Restoration. Tokugawa Yoshinobu, the last shogun, leaves Edo."
1866,1,,慶応2年,Keiō 2,7,"Middle of 1st month, Ohayashi Hyogo arrives at headquarters"
1866,1,29,慶応2年,Keiō 2,10,"Nakakura Shuzen discovered to have been attacked"
1867,2,25,慶応3年,Keiō 3,1,"Tainoshin agrees to leave Shinsengumi with the Itō faction"
1866,3,13,慶応2年,Keiō 2,1,"Tainoshin gets involved in a fight defending Suzuki Mikisaburō. The fallout from this minor scuffle kicks off a series of events which ends in the Goryo Eiji Incident, an intra-party split within the Shinsengumi"
1866,4,1,慶応2年,Keiō 2,12,"Tani Sanjūrō is defeated in combat"
1866,8,29,慶応2年,Keiō 2,8,"placard thrown into Kamo river with the notice board incident"
1866,9,26,慶応2年,Keiō 2,13,"26th day of 9th month Itō broaches the idea of splitting from the corps with Kondo"
1866,9,28,慶応2年,Keiō 2,5,"Takeda Kanryūsai's is executed by Saitō Hajime on a toll bridge over the Kamo River"
1866,10,12,慶応2年,Keiō 2,13,"Hirano Kazumi attacks Tomiyama Yahei by the Yugyō temple on Shichijo Avenue"
1867,3,10,慶応3年,Keiō 3,1,"Itō faction leaves for Choenji Temple"
1867,6,,慶応3年,Keiō 3,1,"After several months of discussions, the Shogunate grants samurai status to members of the Shinsengumi"
1867,6,8,慶応3年,Keiō 3,1,"Itō faction (along with Tainoshin) moved to Gesshin-in Temple"
1867,11,18,慶応3年,Keiō 3,1,"Itō is assassinated at Aburanokoji"
1868,1,3,慶応4年,Keiō 4,14,"Battle of Toba-Fushimi, after which the Shinsengumi is driven out of Kyoto"
